Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestAddNewUser,Firefox 68.0,,,2019-09-03 20:09:37,2019-09-03 20:10:20,43.314s,INCOMPLETE
,,,,,,,
Test Cases/AddUser,Firefox 68.0,,,2019-09-03 20:09:50,2019-09-03 20:10:20,29.869s,PASSED
"website.SignInPage.login(username, password)",Firefox 68.0,,,2019-09-03 20:09:50,2019-09-03 20:10:00,9.386s,PASSED
website.SidePanel.selectOptionUsers(),Firefox 68.0,,,2019-09-03 20:10:00,2019-09-03 20:10:01,1.559s,PASSED
website.UsersPage.clickAddButton(),Firefox 68.0,,,2019-09-03 20:10:01,2019-09-03 20:10:11,9.989s,PASSED
"website.AddUserPage.enterData(employee, newUsername, role, supervisor, adminRole, status, newPassword, confirmPassword)",Firefox 68.0,,,2019-09-03 20:10:11,2019-09-03 20:10:18,7.418s,PASSED
website.UsersPage.verifyNewUserAdded(newUsername),Firefox 68.0,,,2019-09-03 20:10:18,2019-09-03 20:10:20,1.352s,PASSED
