Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestAddNewUser,Firefox 68.0,,,2019-09-03 01:08:58,2019-09-03 01:09:08,9.498s,INCOMPLETE
,,,,,,,
Test Cases/AddUser,Firefox 68.0,,,2019-09-03 01:09:08,2019-09-03 01:09:08,0.253s,ERROR
"website.SignInPage.login(username, password)",Firefox 68.0,,,2019-09-03 01:09:08,2019-09-03 01:09:08,0.010s,ERROR
