Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestAddNewUser,Firefox 68.0,,,2019-09-03 01:04:58,2019-09-03 01:05:08,9.488s,INCOMPLETE
,,,,,,,
Test Cases/AddUser,Firefox 68.0,,,2019-09-03 01:05:08,2019-09-03 01:05:08,0.241s,ERROR
"website.SignInPage.login(username, password)",Firefox 68.0,,,2019-09-03 01:05:08,2019-09-03 01:05:08,0.011s,ERROR
