Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestAddNewUser,Firefox 68.0,,,2019-09-03 20:18:44,2019-09-03 20:19:24,40.215s,INCOMPLETE
,,,,,,,
Test Cases/AddUser,Firefox 68.0,,,2019-09-03 20:18:57,2019-09-03 20:19:24,26.489s,PASSED
"website.SignInPage.login(username, password)",Firefox 68.0,,,2019-09-03 20:18:58,2019-09-03 20:19:05,6.765s,PASSED
website.SidePanel.selectOptionUsers(),Firefox 68.0,,,2019-09-03 20:19:05,2019-09-03 20:19:06,1.538s,PASSED
website.UsersPage.clickAddButton(),Firefox 68.0,,,2019-09-03 20:19:06,2019-09-03 20:19:16,9.929s,PASSED
"website.AddUserPage.enterData(employee, newUsername, role, supervisor, adminRole, status, newPassword, confirmPassword)",Firefox 68.0,,,2019-09-03 20:19:16,2019-09-03 20:19:23,6.775s,PASSED
website.UsersPage.verifyNewUserAdded(newUsername),Firefox 68.0,,,2019-09-03 20:19:23,2019-09-03 20:19:24,1.227s,PASSED
